System;Link;Star/Planet;Discovery;Spectral Type;Distance [pc];Mass Ratio;a_binary [au];e_sec;Number of Planets;Planet Motion Type;m1 [m_sun];m2  [m_sun];Comments;Minimum Mass [M_J];Semi-major axis [au];Orbital Period [d];Eccentricity;Argument of Perihelion [deg];Radius [R_J];Inclination [deg];Detection Method
WASP-122 b;http://exoplanet.eu/catalog/wasp-122_b/;1;2015;;;;;;;;;;;1.401;1.372;1.7101;0.0;;1.792;78.35;transit
Kepler-1319 Ab B / KOI 2705;http://exoplanet.eu/catalog/kepler-1319_b/;0;2016;? / ?;114.00;0.233;205.0;;1;S;0.56;0.17;;;;;;;;;
Kepler-1319 b;http://exoplanet.eu/catalog/kepler-1319_b/;1;2016;;;;;;;;;;;;;2.8868;0.33;;0.12;;transit
HD 202772 Ab B;http://exoplanet.eu/catalog/hd_202772_a_b/;0;2018;F8 / ?;147.20;0.417;191.4;;1;S;1.69;1.21;;;;;;;;;
HD 202772 b;http://exoplanet.eu/catalog/hd_202772_a_b/;1;2018;;;;;;;;;;;1.008;0.0519;3.3090;0.047;88.0;1.562;84.2;transit
HD 93148 Ab B / Kelt 24 / Mascara-3;http://exoplanet.eu/catalog/mascara-3_b/;0;2019;F5 / ?;90.25;;186.0;;1;S;1.46;;;;;;;;;;
HD 93148 b;http://exoplanet.eu/catalog/mascara-3_b/;1;2019;;;;;;;;;;;5.18;0.06971;5.5515;0.085;41.0;1.272;89.16;transit
HD 116029 Abc B;http://exoplanet.eu/catalog/hd_116029_a_b/;0;2010-2011;K1III / M;123.20;0.141;171.0;;2;S;1.58;0.26;;;;;;;;;
HD 116029 b;http://exoplanet.eu/catalog/hd_116029_a_b/;1;2011;;;;;;;;;;;2.1;1.73;670.2;0.21;360.0;;;radial velocity
HD 116029 c;http://exoplanet.eu/catalog/hd_116029_a_c/;1;2010;;;;;;;;;;;1.27;;907.0;0.038;17.3;;;radial velocity
HD 98736 Ab B;http://exoplanet.eu/catalog/hd_98736_b/;0;2018;G5 / M;31.00;;158.0;;1;S;0.92;;;;;;;;;;
HD 98736 b;http://exoplanet.eu/catalog/hd_98736_b/;1;2018;;;;;;;;;;;2.33;1.864;968.8;0.226;162.0;;;radial velocity
